main/loss,main/nll,lr,epoch,iteration,elapsed_time,validation/main/loss,validation/main/nll
110.07325925827027,110.07325925827027,0.000993133647416325,8,690,466.063854172,,
150.40457649230956,150.40457649230956,0.000993034338520566,8,700,471.962194886,,
112.26943874359131,112.26943874359131,0.0009929350395552496,8,710,478.52879519400005,,
76.21098117828369,76.21098117828369,0.0009928357505193828,8,720,484.00899860800007,,
154.7027503967285,154.7027503967285,0.0009927364714119732,8,730,489.907175456,,
93.95149421691895,93.95149421691895,0.000992637202232027,8,740,495.572502181,,
89.0718445777893,89.0718445777893,0.0009925379429785524,8,750,502.091561994,,
98.32960987091064,98.32960987091064,0.000992438693650557,9,760,514.0065942260001,186.40983200073242,186.40983200073242
88.7130163192749,88.7130163192749,0.0009923394542470474,9,770,521.073776555,,
78.75807304382325,78.75807304382325,0.0009922402247670317,9,780,527.749783082,,
